FIPS ,Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,Median Household Income (2022),,% of State Median HH Income
25000,Massachusetts,4.8,4,3.8,3.5,3,9.3,5.4,3.7,3.4,"$94,538 ",,100.00%
25001,"Barnstable County, MA",6.1,5.1,4.8,4.5,4,10.7,6.3,4.6,4.2,"$89,774 ",,95.00%
25003,"Berkshire County, MA",5.4,4.7,4.5,4.2,3.7,9.9,6.3,4.3,3.6,"$71,102 ",,75.20%
25005,"Bristol County, MA",6.1,5.1,4.9,4.4,3.9,10.7,6.1,4.5,4.1,"$80,702 ",,85.40%
25007,"Dukes County, MA",6.5,5.3,5,4.8,4.3,10.3,6.2,5,4.4,"$89,136 ",,94.30%
25009,"Essex County, MA",5,4.1,3.9,3.6,3.1,10.3,6,3.8,3.5,"$92,118 ",,97.40%
25011,"Franklin County, MA",4.4,3.6,3.4,3.1,2.8,7.9,4.7,3.3,2.9,"$69,929 ",,74.00%
25013,"Hampden County, MA",6.4,5.4,5.2,4.8,4.3,10.9,7.1,4.8,4.3,"$64,030 ",,67.70%
25015,"Hampshire County, MA",4.5,3.8,3.5,3.1,2.8,7.5,4.4,3.3,2.9,"$81,878 ",,86.60%
25017,"Middlesex County, MA",3.9,3.3,3.1,2.8,2.4,7.6,4.4,3,2.9,"$118,494 ",,125.30%
25019,"Nantucket County/town, MA",5.4,4.6,4.5,4.6,4.4,11.8,7.2,6.1,5.8,"$107,613 ",,113.80%
25021,"Norfolk County, MA",4.2,3.5,3.4,3.1,2.6,8.7,4.8,3.2,3.1,"$115,770 ",,122.50%
25023,"Plymouth County, MA",5.1,4.2,4,3.7,3.2,9.9,5.7,3.9,3.5,"$102,647 ",,108.60%
25025,"Suffolk County, MA",4.4,3.7,3.5,3.1,2.7,10.2,5.6,3.5,3.2,"$84,548 ",,89.40%
25027,"Worcester County, MA",5.1,4.3,4,3.7,3.3,9.2,5.5,3.8,3.5,"$86,078 ",,91.10%
